,id,code,description,hasChildren,section,index,crawled,country,parent_id,error_message,selectable,intervalMin,intervalMax
4116,31384,844110,Cutting machines,True,,,Done,AT,4484,,,,
4117,31484,844120,"Machines for making bags, sacks or envelopes",False,,,,AT,4484,,True,,
4118,31584,844130,"Machines for making cartons, boxes, cases, tubes, drums or similar containers, other than by moulding",False,,,,AT,4484,,True,,
4119,31684,844140,"Machines for moulding articles in paper pulp, paper or paperboard",False,,,,AT,4484,,True,,
4120,31784,844180,Other machinery,False,,,,AT,4484,,True,,
4121,31884,844190,Parts,True,,,Done,AT,4484,,,,
4122,66784,844230,"Machinery, apparatus and equipment",False,,,,AT,4584,,True,,
4123,32484,844240,"Parts of the foregoing machinery, apparatus or equipment",False,,,,AT,4584,,True,,
4124,32584,844250,"Plates, cylinders and other printing components; plates, cylinders and lithographic stones, prepared for printing purposes (for example, planed, grained or polished)",False,,,,AT,4584,,True,,
4125,32784,,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442",True,,,Done,AT,4684,,,8443110000,8443190000
4126,33084,,"Other printers, copying machines and facsimile machines, whether or not combined",True,,,Done,AT,4684,,,8443310000,8443390000
4127,33784,,Parts and accessories,True,,,Done,AT,4684,,,8443910000,8443990000
4128,33884,84440010,Machines for extruding,False,,,,AT,4784,,True,,
4129,33984,84440090,Other,False,,,,AT,4784,,True,,
4130,34084,,Machines for preparing textile fibres,True,,,Done,AT,4884,,,8445110000,8445190000
4131,34184,844520,Textile spinning machines,False,,,,AT,4884,,True,,
4132,34284,844530,Textile doubling or twisting machines,False,,,,AT,4884,,True,,
4133,34484,844540,Textile winding (including weft-winding) or reeling machines,False,,,,AT,4884,,True,,
4134,34584,844590,Other,False,,,,AT,4884,,True,,
4135,34684,844610,For weaving fabrics of a width not exceeding 30 cm,False,,,,AT,4984,,True,,
4136,34784,,"For weaving fabrics of a width exceeding 30 cm, shuttle type",True,,,Done,AT,4984,,,8446210000,8446290000
4137,34884,844630,"For weaving fabrics of a width exceeding 30 cm, shuttleless type",False,,,,AT,4984,,True,,
4138,34984,,Circular knitting machines,True,,,Done,AT,5084,,,8447110000,8447120000
4139,35084,844720,Flat knitting machines; stitch-bonding machines,True,,,Done,AT,5084,,,,
4140,35184,844790,Other,False,,,,AT,5084,,True,,
4141,35284,,"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447",True,,,Done,AT,5184,,,8448110000,8448190000
4142,67284,844820,Parts and accessories of machines of heading 8444 or of their auxiliary machinery,False,,,,AT,5184,,True,,
4143,35684,,Parts and accessories of machines of heading 8445 or of their auxiliary machinery,True,,,Done,AT,5184,,,8448310000,8448390000
4144,35884,,Parts and accessories of weaving machines (looms) or of their auxiliary machinery,True,,,Done,AT,5184,,,8448420000,8448490000
4145,35984,,Parts and accessories of machines of heading 8447 or of their auxiliary machinery,True,,,Done,AT,5184,,,8448510000,8448590000
4146,36084,,"Machines, each of a dry linen capacity not exceeding 10 kg",True,,,Done,AT,5384,,,8450110000,8450190000
4147,36184,845020,"Machines, each of a dry linen capacity exceeding 10 kg",False,,,,AT,5384,,True,,
4148,36284,845090,Parts,False,,,,AT,5384,,True,,
4149,36384,845110,Dry-cleaning machines,False,,,,AT,5484,,True,,
4150,36484,,Drying machines,True,,,Done,AT,5484,,,8451210000,8451290000
4151,36584,845130,Ironing machines and presses (including fusing presses),False,,,,AT,5484,,True,,
